Iload [A],"LDO_VDD (rcss, temp=-40) [V]","LDO_VDD (rcss, temp=85) [V]","LDO_VDD (rxsf, temp=-40) [V]","LDO_VDD (rxsf, temp=85) [V]","LDO_VDD (rxfs, temp=-40) [V]","LDO_VDD (rxfs, temp=85) [V]","LDO_VDD (rcff, temp=-40) [V]","LDO_VDD (rcff, temp=85) [V]","LDO_VDD (tttt, temp=27) [V]","LDO_VDD (nom, temp=27) [V]"
0,0.8514864040160331,0.8528601928739038,0.8516094327692614,0.8531253279861681,0.851448831,0.8529497335491244,0.8516659284514492,0.8533538350222523,0.8523099358151307,0.8523099358151307
0.0003,0.849675647,0.8503959216078038,0.8483637978285485,0.8487107284754044,0.8478589379405284,0.848566127,0.8468921065561709,0.8472773524514308,0.8491093753662963,0.8491093753662963
0.0006,0.848229301,0.8484930524730234,0.8462257468015408,0.8459402877319747,0.845534748,0.8457496017519076,0.8440078086549918,0.84372621,0.8469251385045257,0.8469251385045257
0.0009,0.8468741477985015,0.8467186645452577,0.8443618801264787,0.8435419878461347,0.8435295460656356,0.8433036579077731,0.8415927332628895,0.8407567709551672,0.8449823563314062,0.8449823563314062
0.0012,0.8455658208279674,0.8450079387678731,0.8426390933672505,0.8413284694800972,0.84168871,0.8410439159067532,0.8394193845537553,0.8380779708322045,0.8431629022260291,0.8431629022260291
0.0015,0.8442855298523944,0.8433345383879391,0.8410007762140922,0.8392235144934365,0.8399465599177347,0.8388944416523734,0.8373908928876113,0.8355706025802121,0.8414167799408622,0.8414167799408622
0.0018,0.8430245689873616,0.8416865003939668,0.8394208072029168,0.8371927305001613,0.8382726215179792,0.8368205104459963,0.8354625311441429,0.8331806876261415,0.8397210861944856,0.8397210861944856
0.0021,0.8417777896694448,0.8400568209085363,0.8378837425505615,0.8352159985216943,0.8366488500765634,0.8348016778534409,0.8336078408150001,0.8308765615126682,0.8380623259969655,0.8380623259969655
0.0024,0.8405418883787723,0.8384410353881339,0.836379681,0.8332805217229651,0.8350636571603614,0.832824859,0.8318098514203054,0.8286380409847839,0.8364318662995204,0.8364318662995204
0.0027,0.8393146071303225,0.8368361018562525,0.8349018612347522,0.8313776095595661,0.8335091175212436,0.8308811120612923,0.8300569721830009,0.8264513965198869,0.8348238187399262,0.8348238187399262
0.003,0.838094326,0.835239838,0.8334454415785851,0.8295010570791189,0.8319795451077773,0.8289640133411785,0.8283408990321705,0.8243068128202954,0.8332339655041948,0.8332339655041948
0.0033,0.8368798393068346,0.8336506118778368,0.8320068207802368,0.8276462555306533,0.8304707041596953,0.8270687566252761,0.8266554559187926,0.8221969926274575,0.8316591666448951,0.8316591666448951
0.0036,0.8356679223166041,0.8320644595368744,0.830576127,0.8258010832011418,0.8289710827105751,0.8251831127423552,0.8249836596206856,0.8201025805587124,0.830091046,0.830091046
0.0039,0.8344628681482363,0.8304863474916223,0.8291667123123246,0.8239815671320115,0.8274961535849468,0.823322853,0.8233485174790884,0.8180492773447566,0.8285407521667499,0.8285407521667499
0.0042,0.8332611816539326,0.8289119610476954,0.8277678637159648,0.8221745459694367,0.826033438,0.8214746810683666,0.8217315964789677,0.8160160612316126,0.8269991932254999,0.8269991932254999
0.0045,0.8320625225608179,0.8273407754991341,0.8263786130741267,0.820378718,0.8245817605194724,0.8196371080292996,0.8201312415720927,0.8140008806093632,0.8254654847012852,0.8254654847012852
0.0048,0.8308664924587045,0.8257722021021632,0.8249977936790648,0.8185925494691015,0.8231397316548721,0.8178084368795211,0.8185454532951382,0.8120013066540832,0.8239385831331543,0.8239385831331543
0.0051,0.8296727569540144,0.8242057260288355,0.8236244353962318,0.8168147426699084,0.8217061903083709,0.8159872,0.8169725703617672,0.8100152901760151,0.8224176099310552,0.8224176099310552
0.0054,0.8284810275801386,0.8226408822650748,0.8222577088400498,0.8150441680759215,0.8202801389763031,0.8141720908112626,0.8154111737757913,0.8080410500082695,0.8209018035691079,0.8209018035691079
0.0057,0.8272910524546842,0.8210772418949208,0.8208968976088551,0.8132798267033734,0.8188607111911158,0.8123619195933545,0.813860039,0.8060770156644668,0.8193904951224769,0.8193904951224769
0.006,0.8261026087812327,0.8195144007366862,0.8195413762915104,0.8115208215046628,0.8174471454865724,0.8105555861496888,0.8123180988453397,0.8041217819870746,0.8178830886984821,0.8178830886984821
0.0063,0.8249154971475406,0.8179519698300652,0.8181905935761056,0.8097663345916968,0.8160387656491235,0.8087520512812515,0.8107844138162362,0.8021740734039128,0.8163790463481753,0.8163790463481753
0.0066,0.8237295369289319,0.8163895674239307,0.8168440588264008,0.8080156087842961,0.8146349644842136,0.8069503149297405,0.8092581497824348,0.8002327151602153,0.8148778756865417,0.8148778756865417
0.0069,0.8225445624744884,0.8148268112778443,0.8155013313319732,0.8062679324172176,0.8132351912680953,0.8051493967108091,0.8077385592874118,0.79829661,0.8133791200312395,0.8133791200312395
0.0072,0.8213604201903105,0.8132633117849439,0.814162012,0.8045226264988936,0.8118389410415152,0.803348318,0.8062249668566613,0.7963647169161577,0.8118823499253875,0.8118823499253875
0.0075,0.8201769657891985,0.8116986650118214,0.8128257340645826,0.8027790336113464,0.8104457461687764,0.8015460837292933,0.8047167568528777,0.7944360371178336,0.8103871562139834,0.8103871562139834
0.0078,0.8189940622115007,0.8101324455511459,0.8114921615077381,0.8010365080827894,0.8090551689037823,0.7997416669655728,0.8032133632242485,0.7925095962613115,0.8088931437620147,0.8088931437620147
0.0081,0.8178115777412961,0.8085641988490854,0.8101609796456244,0.7992944070869301,0.8076667953661609,0.7979339888508753,0.8017142612688387,0.7905844325942681,0.807399926,0.807399926
0.0084,0.8166293842644544,0.8069934325851883,0.8088318929469628,0.7975520823516967,0.8062802300602054,0.7961218996049227,0.8002189602202278,0.7886595844576842,0.8059071205962232,0.8059071205962232
0.0087,0.8154473557635169,0.8054196071293158,0.8075046210243537,0.7958088722830713,0.8048950910969641,0.7943041557049849,0.798726997,0.7867340788010371,0.8044143433086276,0.8044143433086276
0.009,0.8142653669277484,0.8038421237313279,0.8061788952158018,0.7940640942684145,0.8035110060667976,0.7924793932573426,0.7972379319222131,0.78480692,0.8029212052219167,0.8029212052219167
0.0093,0.8130832918079635,0.8022603107358249,0.8048544558104987,0.7923170370374877,0.8021276081752574,0.790646095,0.795751342,0.7828770797606679,0.8014273076443779,0.8014273076443779
0.0096,0.8119010025330129,0.800673406,0.803531049,0.7905669529165761,0.8007445325126659,0.7888025515997312,0.7942668166293998,0.7809434848074438,0.7999322380099141,0.7999322380099141
0.0099,0.8107183681448449,0.7990805357921194,0.8022084257881447,0.7888130497989009,0.7993614126873516,0.7869468056352236,0.7927839574707982,0.7790050071989291,0.7984355655437455,0.7984355655437455
0.0102,0.8095352531908708,0.7974806849567979,0.8008863371345629,0.7870544827910485,0.7979778775501939,0.7850765863632726,0.7913023701285667,0.7770604520945783,0.7969368367012942,0.7969368367012942
0.0105,0.8083515165704448,0.7958726609077755,0.7995645343644496,0.7852903452437671,0.7965935479420944,0.7831892150645627,0.7898216632464908,0.7751085456887834,0.7954355705336279,0.7954355705336279
0.0108,0.8071670100947209,0.7942550428334019,0.7982427657107222,0.7835196591302256,0.7952080333078225,0.7812814773321101,0.788341445,0.773147922,0.7939312535205134,0.7939312535205134
0.0111,0.8059815772009972,0.7926261125998041,0.7969207745773649,0.7817413644779688,0.7938209285189345,0.7793494422031626,0.7868613191923139,0.7711771089144913,0.7924233340412703,0.7924233340412703
0.0114,0.8047950512995669,0.7909837579792663,0.7955982974179466,0.779954308,0.7924318102236187,0.7773882015718048,0.7853808838173454,0.7691945115952991,0.7909112162433855,0.7909112162433855
0.0117,0.8036072542300089,0.7893253337738599,0.7942750617232159,0.7781572283878432,0.7910402332944797,0.7753914850207645,0.7838997265655989,0.7671983952275752,0.7893942531588891,0.7893942531588891
0.012,0.8024179944406975,0.7876474580425821,0.7929507838364503,0.7763487444008985,0.7896457269163335,0.7733510785891013,0.7824174225062804,0.7651868640468089,0.7878717388133565,0.7878717388133565
0.0123,0.8012270649531952,0.785945705,0.7916251668406588,0.7745273343488787,0.7882477902341233,0.7712559265455159,0.7809335309152922,0.7631578372246592,0.7863428991533369,0.7863428991533369
0.0126,0.800034241,0.7842141331544324,0.7902978982261237,0.7726913170603086,0.7868458876017468,0.769090714,0.7794475922828958,0.76110902,0.7848068813980486,0.7848068813980486
0.0129,0.7988392781858531,0.7824445292318936,0.788968648,0.7708388267593453,0.7854394434217288,0.7668335856746537,0.777959125,0.7590378674687588,0.7832627411857978,0.7832627411857978
0.0132,0.797641908,0.7806251807067084,0.7876370642093729,0.7689677824909692,0.7840278361176609,0.7644524330899158,0.7764676217996613,0.7569415409798278,0.7817094270284977,0.7817094270284977
0.0135,0.7964418360243181,0.7787387996992947,0.7863027741296827,0.7670758495717325,0.7826103911401875,0.7618988361627286,0.7749725470698535,0.754816849,0.7801457610779134,0.7801457610779134
0.0138,0.7952387368113163,0.7767012734022879,0.7849653777027285,0.7651603896726267,0.7811863731071674,0.7589479085241143,0.7734733324051348,0.7526601704292781,0.7785704144992263,0.7785704144992263
0.0141,0.7940322494924612,0.774558105,0.7836244464389286,0.7632183945056827,0.7797549759172696,0.7557174840478906,0.7719693731120773,0.7504673492309286,0.7769818761212727,0.7769818761212727
0.0144,0.7928219717452638,0.772192491,0.7822795198173415,0.7612463952776447,0.7783153114292464,0.7519290943459056,0.7704600242054146,0.7482335453457337,0.7753784101889217,0.7753784101889217
0.0147,0.7916074525537286,0.7694777265297487,0.7809301018710769,0.7592403354134182,0.7768663949649079,0.7473612547043759,0.7689445960984621,0.7459530190180746,0.7737579999130968,0.7737579999130968
0.015,0.7903881831729715,0.7662116201778535,0.7795756575247367,0.7571953862873634,0.7754071274275939,0.741794902,0.7674223500886691,0.7436188083270542,0.7721182684036904,0.7721182684036904